Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Buenos Aires,GENERAL LAS HERAS,1,39,17980
Chaco,FRAY JUSTO SANTA MARIA DE ORO,1,39,10643
Córdoba,POCHO,0,39,5070
Buenos Aires,ADOLFO GONZALES CHAVES,2,38,12847
Chaco,GENERAL DONOVAN,2,38,15061
Santa Fe,GARAY,2,38,24853
Santiago del Estero,GUASAYAN,0,38,9251
San Juan,CALINGASTA,2,37,10667
Misiones,CONCEPCION,1,37,10303
Tucumán,JUAN B ALBERDI,1,37,34745
Buenos Aires,BENITO JUAREZ,1,36,21185
Catamarca,AMBATO,1,36,5087
Corrientes,SAUCE,1,36,10382
Buenos Aires,LEANDRO N. ALEM,3,35,17153
Buenos Aires,PINAMAR,2,35,39224
Tucumán,LA COCHA,1,35,21196
La Pampa,REALICO,8,34,17356
Buenos Aires,GENERAL ARENALES,2,34,16231
Buenos Aires,LAPRIDA,1,34,11496
Buenos Aires,SUIPACHA,1,34,11736
La Pampa,UTRACAN,5,33,17686
Buenos Aires,ALBERTI,2,33,12906
Entre Ríos,SAN SALVADOR,2,33,20786
Neuquén,PEHUENCHES,2,33,29721
Río Negro,25 DE MAYO,2,33,16555
Buenos Aires,PUNTA INDIO,1,33,12161
La Rioja,FAMATINA,1,33,6984
San Juan,ALBARDON,1,33,31281
Corrientes,SAN MIGUEL,0,33,12700
La Pampa,CONHELO,5,32,15094
Jujuy,SANTA BARBARA,2,32,20497
La Rioja,GENERAL JUAN F QUIROGA,0,32,4013
Salta,IRUYA,0,32,6116
Santiago del Estero,SILIPICA,0,32,9766
Buenos Aires,GENERAL PINTO,4,31,12842
Salta,CERRILLOS,2,31,55713
Buenos Aires,CAPITAN SARMIENTO,1,31,15882
Jujuy,TILCARA,1,31,14621
San Juan,SAN MARTIN,3,30,15037
San Juan,IGLESIA,2,30,8826
Buenos Aires,CASTELLI,1,30,9551
Neuquén,HUILICHES,1,30,20853
San Juan,ANGACO,0,30,10172
Catamarca,PACLIN,2,29,4696
Corrientes,MBURUCUYA,0,29,11541
Catamarca,FRAY MAMERTO ESQUIU,4,28,14624
