provincia,nombre_depto,cantidad_bp,cantidad_ee_comun,poblacion_total,bp_cada_1000,ee_cada_1000
Buenos Aires,GENERAL LA MADRID,1,39.0,11535,0.09,3.38
Buenos Aires,BRAGADO,4,232.0,46227,0.09,5.02
Buenos Aires,MAIPU,1,28.0,11253,0.09,2.49
Buenos Aires,LAPRIDA,1,34.0,11496,0.09,2.96
Chaco,QUITILIPI,3,261.0,32430,0.09,8.05
Chaco,LIBERTADOR GENERAL SAN MARTIN,6,978.0,65304,0.09,14.98
Formosa,PILCOMAYO,8,1400.0,94116,0.09,14.88
La Pampa,MARACO,6,402.0,69067,0.09,5.82
Neuquén,CONFLUENCIA,40,14480.0,467217,0.09,30.99
Santa Fe,SAN JAVIER,3,177.0,33180,0.09,5.33
Buenos Aires,MONTE,2,96.0,24616,0.08,3.9
Buenos Aires,PUNTA INDIO,1,33.0,12161,0.08,2.71
Córdoba,CALAMUCHITA,6,780.0,75462,0.08,10.34
Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,3,210.0,37551,0.08,5.59
Corrientes,ITATI,1,23.0,11946,0.08,1.93
Chaco,GENERAL BELGRANO,1,21.0,12807,0.08,1.64
Santa Cruz,LAGO BUENOS AIRES,1,12.0,12584,0.08,0.95
Santiago del Estero,BANDA,13,2808.0,170401,0.08,16.48
Santiago del Estero,QUEBRACHOS,1,56.0,12336,0.08,4.54
Buenos Aires,JUNIN,8,1048.0,100964,0.08,10.38
Buenos Aires,ENSENADA,5,275.0,63978,0.08,4.3
Catamarca,LA PAZ,2,198.0,26341,0.08,7.52
Santiago del Estero,CAPITAL,26,7280.0,328824,0.08,22.14
Buenos Aires,BARADERO,3,231.0,39223,0.08,5.89
Mendoza,GENERAL ALVEAR,4,336.0,52379,0.08,6.41
San Juan,9 DE JULIO,1,12.0,12498,0.08,0.96
Santa Fe,GARAY,2,76.0,24853,0.08,3.06
Córdoba,SAN JAVIER,5,570.0,62700,0.08,9.09
Corrientes,CONCEPCION,2,130.0,26270,0.08,4.95
Entre Ríos,COLON,6,522.0,74890,0.08,6.97
Jujuy,YAVI,2,110.0,25831,0.08,4.26
Río Negro,GENERAL ROCA,29,11368.0,379627,0.08,29.95
Río Negro,ADOLFO ALSINA,5,480.0,63845,0.08,7.52
San Juan,RIVADAVIA,8,664.0,101334,0.08,6.55
Catamarca,SANTA MARIA,2,172.0,26822,0.07,6.41
Córdoba,TULUMBA,1,59.0,14092,0.07,4.19
Entre Ríos,ISLAS DEL IBICUY,1,40.0,13984,0.07,2.86
Jujuy,TILCARA,1,31.0,14621,0.07,2.12
Salta,ANTA,5,425.0,69442,0.07,6.12
Santiago del Estero,ROBLES,4,324.0,53879,0.07,6.01
Entre Ríos,FEDERAL,2,162.0,29436,0.07,5.5
La Pampa,CAPITAL,8,1048.0,118504,0.07,8.84
Santa Fe,GENERAL OBLIGADO,14,3626.0,197533,0.07,18.36
Santiago del Estero,ATAMISQUI,1,43.0,14894,0.07,2.89
Buenos Aires,CORONEL SUAREZ,3,279.0,41713,0.07,6.69
Buenos Aires,ROQUE PEREZ,1,50.0,13901,0.07,3.6
Chaco,SAN FERNANDO,31,13950.0,413764,0.07,33.71
Chaco,PRESIDENCIA DE LA PLAZA,1,26.0,13938,0.07,1.87
Chubut,BIEDMA,7,595.0,102806,0.07,5.79
Jujuy,SAN PEDRO,6,588.0,88237,0.07,6.66
Mendoza,SAN RAFAEL,14,3542.0,213204,0.07,16.61
Neuquén,PEHUENCHES,2,66.0,29721,0.07,2.22
Buenos Aires,SAN ANTONIO DE ARECO,2,118.0,26695,0.07,4.42
Buenos Aires,BERISSO,7,567.0,100685,0.07,5.63
Córdoba,RIO SECO,1,61.0,15275,0.07,3.99
Chubut,SARMIENTO,1,18.0,14477,0.07,1.24
San Luis,GENERAL PEDERNERA,10,1140.0,148671,0.07,7.67
Entre Ríos,DIAMANTE,3,297.0,52312,0.06,5.68
Mendoza,JUNIN,3,192.0,46472,0.06,4.13
Misiones,25 DE MAYO,2,268.0,30877,0.06,8.68
Santiago del Estero,COPO,2,206.0,35653,0.06,5.78
Tucumán,MONTEROS,5,375.0,77469,0.06,4.84
Buenos Aires,CORONEL DE MARINA L ROSALES,4,296.0,65823,0.06,4.5
Buenos Aires,LA COSTA,6,456.0,100400,0.06,4.54
Buenos Aires,GENERAL LAS HERAS,1,39.0,17980,0.06,2.17
Córdoba,RIO CUARTO,16,5376.0,277979,0.06,19.34
Chaco,SAN LORENZO,1,47.0,16045,0.06,2.93
Entre Ríos,GUALEGUAYCHU,8,1456.0,125176,0.06,11.63
La Rioja,ARAUCO,1,25.0,16251,0.06,1.54
Salta,ROSARIO DE LA FRONTERA,2,90.0,33750,0.06,2.67
Santiago del Estero,RIO HONDO,4,492.0,66637,0.06,7.38
Buenos Aires,CARMEN DE ARECO,1,47.0,17345,0.06,2.71
Buenos Aires,CAPITAN SARMIENTO,1,31.0,15882,0.06,1.95
Córdoba,SANTA MARIA,8,1296.0,139012,0.06,9.32
Córdoba,RIO SEGUNDO,7,1120.0,113311,0.06,9.88
Córdoba,UNION,7,1365.0,113635,0.06,12.01
Jujuy,PALPALA,4,188.0,65522,0.06,2.87
Mendoza,LAVALLE,3,267.0,47086,0.06,5.67
Neuquén,LOS LAGOS,1,20.0,15502,0.06,1.29
Córdoba,ISCHILIN,2,142.0,36023,0.06,3.94
Corrientes,EMPEDRADO,1,56.0,17948,0.06,3.12
Entre Ríos,TALA,2,144.0,31091,0.06,4.63
La Pampa,TOAY,1,16.0,17927,0.06,0.89
La Rioja,CHAMICAL,1,49.0,15630,0.06,3.13
Neuquén,AÑELO,1,20.0,18150,0.06,1.1
Río Negro,BARILOCHE,9,1503.0,161443,0.06,9.31
Río Negro,PICHI MAHUIDA,1,23.0,16493,0.06,1.39
San Juan,SANTA LUCIA,4,176.0,62697,0.06,2.81
San Juan,RAWSON,8,840.0,136582,0.06,6.15
Santa Cruz,GUER AIKE,8,928.0,137309,0.06,6.76
Santa Cruz,DESEADO,7,756.0,126266,0.06,5.99
Santiago del Estero,GENERAL TABOADA,3,222.0,46304,0.06,4.79
Tucumán,GRANEROS,1,52.0,15539,0.06,3.35
Salta,CAFAYATE,1,19.0,17822,0.06,1.07
Buenos Aires,BENITO JUAREZ,1,36.0,21185,0.05,1.7
La Rioja,CHILECITO,3,210.0,58681,0.05,3.58
Misiones,CAINGUAS,3,618.0,59875,0.05,10.32
Neuquén,HUILICHES,1,30.0,20853,0.05,1.44
Santiago del Estero,JUAN F IBARRA,1,67.0,20567,0.05,3.26
Tucumán,LA COCHA,1,35.0,21196,0.05,1.65
Buenos Aires,RIVADAVIA,1,49.0,19735,0.05,2.48
Buenos Aires,NECOCHEA,5,665.0,101483,0.05,6.55
Buenos Aires,AYACUCHO,1,71.0,21757,0.05,3.26
Buenos Aires,PINAMAR,2,70.0,39224,0.05,1.78
Buenos Aires,VILLA GESELL,2,78.0,37325,0.05,2.09
Córdoba,RIO PRIMERO,3,414.0,58181,0.05,7.12
Córdoba,PUNILLA,12,2424.0,219494,0.05,11.04
Corrientes,SAN LUIS DEL PALMAR,1,55.0,21381,0.05,2.57
Corrientes,PASO DE LOS LIBRES,3,183.0,56778,0.05,3.22
Entre Ríos,URUGUAY,6,954.0,115516,0.05,8.26
Salta,GENERAL GUEMES,3,138.0,55746,0.05,2.48
Buenos Aires,LUJAN,5,735.0,110111,0.05,6.68
Buenos Aires,SALTO,2,114.0,39257,0.05,2.9
Catamarca,ANDALGALA,1,56.0,19545,0.05,2.87
Córdoba,SAN ALBERTO,2,210.0,42029,0.05,5.0
Chaco,MAYOR LUIS J FONTANA,3,276.0,59798,0.05,4.62
Entre Ríos,FEDERACION,4,472.0,78264,0.05,6.03
Entre Ríos,VILLAGUAY,3,402.0,55284,0.05,7.27
Tucumán,FAMAILLA,2,94.0,42669,0.05,2.2
Córdoba,GENERAL SAN MARTIN,8,1424.0,152397,0.05,9.34
Córdoba,TERCERO ARRIBA,6,954.0,120207,0.05,7.94
Corrientes,SAN COSME,1,50.0,19679,0.05,2.54
Chaco,O HIGGINS,1,60.0,21544,0.05,2.78
Mendoza,TUNUYAN,3,204.0,59972,0.05,3.4
Santiago del Estero,ALBERDI,1,80.0,20104,0.05,3.98
Santiago del Estero,CHOYA,2,170.0,43692,0.05,3.89
Santiago del Estero,JIMENEZ,1,72.0,18622,0.05,3.87
Tucumán,LEALES,3,351.0,66352,0.05,5.29
Buenos Aires,SAN FERNANDO,7,1176.0,171099,0.04,6.87
Buenos Aires,BAHIA BLANCA,15,4365.0,334505,0.04,13.05
Córdoba,JUAREZ CELMAN,3,306.0,68317,0.04,4.48
Santiago del Estero,LORETO,1,83.0,24047,0.04,3.45
Buenos Aires,AZUL,3,384.0,75152,0.04,5.11
Buenos Aires,MAGDALENA,1,60.0,22653,0.04,2.65
Buenos Aires,ROJAS,1,52.0,25619,0.04,2.03
Buenos Aires,COLON,1,44.0,27406,0.04,1.61
Buenos Aires,GENERAL ALVARADO,2,130.0,45307,0.04,2.87
Buenos Aires,LAS FLORES,1,66.0,27136,0.04,2.43
Catamarca,TINOGASTA,1,88.0,25254,0.04,3.48
Córdoba,COLON,11,2915.0,294511,0.04,9.9
Chaco,12 DE OCTUBRE,1,52.0,23179,0.04,2.24
Formosa,PIRANE,3,696.0,72560,0.04,9.59
Neuquén,ZAPALA,2,104.0,45540,0.04,2.28
Salta,CERRILLOS,2,62.0,55713,0.04,1.11
San Juan,JACHAL,1,74.0,25269,0.04,2.93
Santa Cruz,LAGO ARGENTINO,1,23.0,25384,0.04,0.91
Santa Fe,LA CAPITAL,23,10833.0,568259,0.04,19.06
Buenos Aires,LA PLATA,33,22671.0,756074,0.04,29.99
Buenos Aires,9 DE JULIO,2,190.0,52366,0.04,3.63
Buenos Aires,AVELLANEDA,15,4455.0,366117,0.04,12.17
Buenos Aires,SAN ANDRES DE GILES,1,76.0,26399,0.04,2.88
Corrientes,CURUZU CUATIA,2,164.0,51489,0.04,3.19
Entre Ríos,GUALEGUAY,2,170.0,56796,0.04,2.99
Salta,CAPITAL,27,8100.0,624003,0.04,12.98
San Juan,SARMIENTO,1,60.0,27188,0.04,2.21
Santa Fe,SAN LORENZO,7,938.0,193786,0.04,4.84
Buenos Aires,TRENQUE LAUQUEN,2,216.0,49128,0.04,4.4
Buenos Aires,GENERAL JUAN MADARIAGA,1,57.0,22566,0.04,2.53
Buenos Aires,CORONEL PRINGLES,1,56.0,24110,0.04,2.32
Buenos Aires,CHACABUCO,2,188.0,52409,0.04,3.59
Chubut,FUTALEUFU,2,154.0,49965,0.04,3.08
Entre Ríos,LA PAZ,3,426.0,75271,0.04,5.66
Jujuy,LEDESMA,4,312.0,94132,0.04,3.31
Misiones,LIBERTADOR GRL SAN MARTIN,2,250.0,52166,0.04,4.79
Misiones,GENERAL MANUEL BELGRANO,2,350.0,45456,0.04,7.7
Salta,METAN,2,98.0,48028,0.04,2.04
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,10,1770.0,260769,0.04,6.79
Tucumán,TRANCAS,1,50.0,23438,0.04,2.13
Buenos Aires,25 DE MAYO,1,104.0,35411,0.03,2.94
Buenos Aires,MORENO,16,6032.0,575758,0.03,10.48
Buenos Aires,ARRECIFES,1,51.0,32077,0.03,1.59
Buenos Aires,LANUS,13,4680.0,460081,0.03,10.17
Mendoza,LAS HERAS,6,858.0,233839,0.03,3.67
Mendoza,MALARGUE,1,52.0,32596,0.03,1.6
Santa Fe,ROSARIO,39,32370.0,1337958,0.03,24.19
Buenos Aires,DOLORES,1,46.0,31405,0.03,1.46
Buenos Aires,PERGAMINO,4,624.0,114988,0.03,5.43
Buenos Aires,TIGRE,13,4368.0,446291,0.03,9.79
Buenos Aires,SAN PEDRO,2,210.0,68353,0.03,3.07
Buenos Aires,PATAGONES,1,68.0,37499,0.03,1.81
Buenos Aires,CAÑUELAS,2,202.0,70542,0.03,2.86
Buenos Aires,MAR CHIQUITA,1,60.0,32973,0.03,1.82
Corrientes,CAPITAL,15,4095.0,437446,0.03,9.36
Mendoza,RIVADAVIA,2,138.0,63589,0.03,2.17
Misiones,IGUAZU,3,483.0,99838,0.03,4.84
Tucumán,JUAN B ALBERDI,1,37.0,34745,0.03,1.06
Buenos Aires,SALADILLO,1,82.0,35423,0.03,2.31
Entre Ríos,PARANA,11,4884.0,388716,0.03,12.56
Mendoza,LUJAN DE CUYO,6,648.0,171883,0.03,3.77
Misiones,SAN PEDRO,1,150.0,34690,0.03,4.32
San Juan,ALBARDON,1,33.0,31281,0.03,1.05
Buenos Aires,GENERAL SAN MARTIN,14,4200.0,444503,0.03,9.45
Corrientes,ESQUINA,1,97.0,39168,0.03,2.48
Corrientes,GOYA,3,492.0,106223,0.03,4.63
Corrientes,SANTO TOME,2,174.0,71922,0.03,2.42
Corrientes,ITUZAINGO,1,68.0,38767,0.03,1.75
Corrientes,SALADAS,1,57.0,29126,0.03,1.96
Chaco,25 DE MAYO,1,64.0,32606,0.03,1.96
Chubut,ESCALANTE,7,1288.0,214829,0.03,6.0
Entre Ríos,CONCORDIA,5,945.0,197603,0.03,4.78
Formosa,FORMOSA,8,2048.0,268572,0.03,7.63
Jujuy,EL CARMEN,4,404.0,122259,0.03,3.3
La Rioja,CAPITAL,6,1116.0,210507,0.03,5.3
Mendoza,SAN MARTIN,4,516.0,139406,0.03,3.7
Misiones,SAN IGNACIO,2,342.0,63194,0.03,5.41
Misiones,GUARANI,2,530.0,77075,0.03,6.88
Salta,GENERAL JOSE DE SAN MARTIN,5,780.0,177448,0.03,4.4
Salta,ORAN,4,464.0,159715,0.03,2.91
Salta,RIVADAVIA,1,123.0,38062,0.03,3.23
Tucumán,RIO CHICO,2,132.0,64927,0.03,2.03
Buenos Aires,TRES DE FEBRERO,9,2466.0,362319,0.02,6.81
Buenos Aires,BERAZATEGUI,6,1740.0,358328,0.02,4.86
Buenos Aires,MARCOS PAZ,1,68.0,64761,0.02,1.05
Catamarca,CAPITAL,4,528.0,186466,0.02,2.83
Córdoba,CRUZ DEL EJE,1,145.0,64748,0.02,2.24
Corrientes,BELLA VISTA,1,75.0,44369,0.02,1.69
Corrientes,LAVALLE,1,80.0,40406,0.02,1.98
Jujuy,DOCTOR MANUEL BELGRANO,7,1827.0,319469,0.02,5.72
Mendoza,CAPITAL,3,546.0,123715,0.02,4.41
Misiones,OBERA,3,786.0,120703,0.02,6.51
San Juan,CAUCETE,1,63.0,44017,0.02,1.43
Tucumán,CAPITAL,10,4060.0,587289,0.02,6.91
Buenos Aires,SAN VICENTE,2,178.0,97929,0.02,1.82
Buenos Aires,PILAR,6,1902.0,393614,0.02,4.83
Buenos Aires,LOMAS DE ZAMORA,12,6684.0,685644,0.02,9.75
Buenos Aires,SAN ISIDRO,7,1932.0,295978,0.02,6.53
Misiones,APOSTOLES,1,76.0,50503,0.02,1.5
Tucumán,CRUZ ALTA,4,672.0,227688,0.02,2.95
Buenos Aires,BALCARCE,1,89.0,48516,0.02,1.83
Buenos Aires,FLORENCIO VARELA,10,2960.0,488103,0.02,6.06
Buenos Aires,VICENTE LOPEZ,6,1506.0,280541,0.02,5.37
