provincia,nombre_depto,ee_comun,cantidad_bp
Buenos Aires,BARADERO,77,3
Chubut,FUTALEUFU,77,2
Chaco,MAIPU,77,0
Buenos Aires,LA COSTA,76,6
Buenos Aires,SAN ANDRES DE GILES,76,1
Misiones,APOSTOLES,76,1
Tucumán,MONTEROS,75,5
San Luis,AYACUCHO,75,3
Corrientes,BELLA VISTA,75,1
Buenos Aires,CORONEL DE MARINA L ROSALES,74,4
Santiago del Estero,GENERAL TABOADA,74,3
San Juan,JACHAL,74,1
Mendoza,SAN CARLOS,72,5
Misiones,MONTECARLO,72,4
Entre Ríos,TALA,72,2
Santiago del Estero,JIMENEZ,72,1
Buenos Aires,VILLARINO,71,4
Misiones,SAN JAVIER,71,2
Córdoba,ISCHILIN,71,2
Buenos Aires,AYACUCHO,71,1
Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,70,3
La Rioja,CHILECITO,70,3
Tierra del Fuego,USHUAIA,70,2
Mendoza,RIVADAVIA,69,2
San Juan,POCITO,69,1
Chaco,BERMEJO,68,3
Mendoza,TUNUYAN,68,3
Corrientes,ITUZAINGO,68,1
Buenos Aires,PATAGONES,68,1
Buenos Aires,MARCOS PAZ,68,1
Tucumán,YERBA BUENA,68,1
La Pampa,MARACO,67,6
Corrientes,MERCEDES,67,5
San Juan,CHIMBAS,67,2
Santiago del Estero,JUAN F IBARRA,67,1
Corrientes,MONTE CASEROS,66,7
Corrientes,GENERAL PAZ,66,3
Tucumán,RIO CHICO,66,2
Buenos Aires,LAS FLORES,66,1
Tucumán,LULES,66,0
Córdoba,GENERAL ROCA,65,5
Catamarca,CAPAYAN,65,4
Corrientes,CONCEPCION,65,2
Buenos Aires,GENERAL ALVARADO,65,2
Chubut,CUSHAMEN,64,7
Mendoza,JUNIN,64,3
Chaco,25 DE MAYO,64,1
Buenos Aires,PRESIDENTE PERON,64,0
Chaco,9 DE JULIO,63,4
Buenos Aires,NAVARRO,63,2
Buenos Aires,LOBERIA,63,2
San Juan,CAUCETE,63,1
Formosa,LAISHI,62,2
Santiago del Estero,SALAVINA,62,0
Misiones,CANDELARIA,61,4
Buenos Aires,BRANDSEN,61,3
Corrientes,PASO DE LOS LIBRES,61,3
Chaco,CHACABUCO,61,3
Jujuy,HUMAHUACA,61,2
Córdoba,RIO SECO,61,1
Buenos Aires,MAGDALENA,60,1
